speakers,titles,views,hashtags
Ken Robinson,Do schools kill creativity?,50M,"Inspiring, Funny"
Amy Cuddy,Your body language may shape who you are,46M,"Inspiring, Fascinating"
Simon Sinek,How great leaders inspire action,37M,"Inspiring, Persuasive"
Brené Brown,The power of vulnerability,33M,"Inspiring, Courageous"
Julian Treasure,How to speak so that people want to listen,26M,"Informative, Inspiring"
James Veitch,This is what happens when you reply to spam email,25M,"Funny, Ingenious"
Mary Roach,10 things you didn't know about orgasm,22M,"Funny, Informative"
Jill Bolte Taylor,My stroke of insight,22M,"Inspiring, Fascinating"
Tony Robbins,Why we do what we do,21M,"Inspiring, Persuasive"
Cameron Russell,"Looks aren't everything. Believe me, I'm a model.",21M,"Courageous, Inspiring"
Robert Waldinger,What makes a good life? Lessons from the longest study on happiness,20M,"Inspiring, Beautiful"
Dan Pink,The puzzle of motivation,19M,"Inspiring, Persuasive"
Susan Cain,The power of introverts,18M,"Inspiring, Courageous"
Tim Urban,Inside the mind of a master procrastinator,17M,"Funny, Inspiring"
Pamela Meyer,How to spot a liar,17M,"Informative, Fascinating"
Shawn Achor,The happy secret to better work,17M,"Inspiring, Funny"
David Blaine,How I held my breath for 17 minutes,16M,"Fascinating, Courageous"
Pranav Mistry,The thrilling potential of SixthSense technology,16M,"Ingenious, Inspiring"
Apollo Robbins,The art of misdirection,16M,"Funny, Fascinating"
Kelly McGonigal,How to make stress your friend,15M,"Informative, Inspiring"
Dan Gilbert,The surprising science of happiness,15M,"Fascinating, Informative"
Chimamanda Ngozi Adichie,The danger of a single story,14M,"Inspiring, Beautiful"
Elizabeth Gilbert,Your elusive creative genius,14M,"Inspiring, Beautiful"
David Gallo,Underwater astonishments,14M,"Fascinating, Beautiful"
Keith Barry,Brain magic,13M,"Fascinating, Funny"
Angela Lee Duckworth,Grit: The power of passion and perseverance,13M,"Inspiring, Informative"
Hans Rosling,The best stats you've ever seen,12M,"Informative, Fascinating"
Monica Lewinsky,The price of shame,12M,"Courageous, Inspiring"
Jon Ronson,Strange answers to the psychopath test,12M,"Fascinating, Informative"
Esther Perel,The secret to desire in a long-term relationship,11M,"Informative, Fascinating"
Richard St. John,8 secrets of success,11M,"Inspiring, Funny"
Chris Anderson,Questions no one knows the answers to,11M,"Fascinating, Inspiring"
Sarah Kay,If I should have a daughter ...,10M,"Inspiring, Beautiful"
Tom Thum,The orchestra in my mouth,10M,"Fascinating, Funny"
Daniel Levitin,How to stay calm when you know you'll be stressed,10M,"Informative, Inspiring"
Hyeonseo Lee,My escape from North Korea,10M,"Courageous, Inspiring"
Celeste Headlee,10 ways to have a better conversation,10M,"Informative, Inspiring"
Barry Schwartz,The paradox of choice,10M,"Informative, Fascinating"
Raffaello D'Andrea,The astounding athletic power of quadcopters,10M,"Fascinating, Ingenious"
