durations,speakers,titles,views,hashtags
19:24,Ken Robinson,Do schools kill creativity?,50M,"Inspiring, Funny"
21:02,Amy Cuddy,Your body language may shape who you are,46M,"Inspiring, Fascinating"
18:04,Simon Sinek,How great leaders inspire action,37M,"Inspiring, Persuasive"
20:19,Brené Brown,The power of vulnerability,33M,"Inspiring, Courageous"
 9:58,Julian Treasure,How to speak so that people want to listen,26M,"Informative, Inspiring"
 9:48,James Veitch,This is what happens when you reply to spam email,26M,"Funny, Ingenious"
16:43,Mary Roach,10 things you didn't know about orgasm,23M,"Funny, Informative"
18:19,Jill Bolte Taylor,My stroke of insight,22M,"Inspiring, Fascinating"
21:45,Tony Robbins,Why we do what we do,21M,"Inspiring, Persuasive"
 9:37,Cameron Russell,"Looks aren't everything. Believe me, I'm a model.",21M,"Courageous, Inspiring"
12:46,Robert Waldinger,What makes a good life? Lessons from the longest study on happiness,20M,"Inspiring, Beautiful"
18:36,Dan Pink,The puzzle of motivation,20M,"Inspiring, Persuasive"
19:04,Susan Cain,The power of introverts,18M,"Inspiring, Courageous"
14:03,Tim Urban,Inside the mind of a master procrastinator,18M,"Funny, Inspiring"
18:50,Pamela Meyer,How to spot a liar,18M,"Informative, Fascinating"
12:20,Shawn Achor,The happy secret to better work,17M,"Inspiring, Funny"
20:19,David Blaine,How I held my breath for 17 minutes,16M,"Fascinating, Courageous"
 8:47,Apollo Robbins,The art of misdirection,16M,"Funny, Fascinating"
13:50,Pranav Mistry,The thrilling potential of SixthSense technology,16M,"Ingenious, Inspiring"
14:28,Kelly McGonigal,How to make stress your friend,15M,"Informative, Inspiring"
21:16,Dan Gilbert,The surprising science of happiness,15M,"Fascinating, Informative"
18:49,Chimamanda Ngozi Adichie,The danger of a single story,14M,"Inspiring, Beautiful"
19:09,Elizabeth Gilbert,Your elusive creative genius,14M,"Inspiring, Beautiful"
 5:27,David Gallo,Underwater astonishments,14M,"Fascinating, Beautiful"
19:49,Keith Barry,Brain magic,13M,"Fascinating, Funny"
 6:12,Angela Lee Duckworth,Grit: The power of passion and perseverance,13M,"Inspiring, Informative"
19:50,Hans Rosling,The best stats you've ever seen,12M,"Informative, Fascinating"
22:26,Monica Lewinsky,The price of shame,12M,"Courageous, Inspiring"
18:01,Jon Ronson,Strange answers to the psychopath test,12M,"Fascinating, Informative"
 3:30,Richard St. John,8 secrets of success,11M,"Inspiring, Funny"
19:10,Esther Perel,The secret to desire in a long-term relationship,11M,"Informative, Fascinating"
12:07,Chris Anderson,Questions no one knows the answers to,11M,"Fascinating, Inspiring"
11:41,Tom Thum,The orchestra in my mouth,11M,"Fascinating, Funny"
18:25,Sarah Kay,If I should have a daughter ...,11M,"Inspiring, Beautiful"
12:20,Daniel Levitin,How to stay calm when you know you'll be stressed,10M,"Informative, Inspiring"
11:44,Celeste Headlee,10 ways to have a better conversation,10M,"Informative, Inspiring"
19:37,Barry Schwartz,The paradox of choice,10M,"Informative, Fascinating"
12:15,Hyeonseo Lee,My escape from North Korea,10M,"Courageous, Inspiring"
16:08,Raffaello D'Andrea,The astounding athletic power of quadcopters,10M,"Fascinating, Ingenious"
 9:43,Reggie Watts,Beats that defy boxes,9.8M,"Funny, Ingenious"
 8:42,Pattie Maes and Pranav Mistry,Meet the SixthSense interaction,9.8M,"Fascinating, Ingenious"
20:43,Benjamin Zander,The transformative power of classical music,9.8M,"Inspiring, Beautiful"
23:27,Helen Fisher,"Why we love, why we cheat",9.7M,"Informative, Fascinating"
 7:11,Maz Jobrani,"A Saudi, an Indian and an Iranian walk into a Qatari bar ...",9.6M,"Funny, Inspiring"
40:50,Elon Musk,The future we're building — and boring,9.6M,"Fascinating, Inspiring"
10:12,Stephen Hawking,Questioning the universe,9.4M,"Fascinating, Inspiring"
 3:27,Matt Cutts,Try something new for 30 days,9.4M,"Inspiring, Persuasive"
14:13,Maysoon Zayid,I got 99 problems ... palsy is just one,9.3M,"Inspiring, Funny"
21:31,Esther Perel,Rethinking infidelity ... a talk for anyone who has ever loved,9.3M,"Informative, Fascinating"
 9:24,Judson Brewer,A simple way to break a bad habit,9.3M,"Informative, Inspiring"
14:49,Meg Jay,Why 30 is not the new 20,9.3M,"Inspiring, Persuasive"
13:47,Amanda Palmer,The art of asking,9.3M,"Inspiring, Beautiful"
10:28,BLACK,My journey to yo-yo mastery,9M,"Beautiful, Inspiring"
20:38,Brené Brown,Listening to shame,8.9M,"Inspiring, Courageous"
15:04,Steve Jobs,How to live before you die,8.9M,"Inspiring, Courageous"
14:42,Johann Hari,Everything you think you know about addiction is wrong,8.8M,"Inspiring, Informative"
 9:24,Andy Puddicombe,All it takes is 10 mindful minutes,8.8M,"Inspiring, Informative"
 7:40,James Veitch,The agony of trying to unsubscribe,8.7M,"Funny, Ingenious"
15:14,Arthur Benjamin,"A performance of ""Mathemagic""",8.5M,"Fascinating, Funny"
17:40,David Christian,The history of our world in 18 minutes,8.2M,"Fascinating, Informative"
19:00,Hugh Herr,"The new bionics that let us run, climb and dance",8.1M,"Inspiring, Beautiful"
 7:48,Rita F. Pierson,Every kid needs a champion,8.1M,"Inspiring, Beautiful"
14:58,Sheryl Sandberg,Why we have too few women leaders,8M,"Inspiring, Persuasive"
14:48,Yves Rossy,Fly with the Jetman,8M,"Fascinating, Courageous"
21:53,Jamie Oliver,Teach every child about food,8M,"Inspiring, Persuasive"
29:21,Andrew Solomon,"Depression, the secret we share",8M,"Inspiring, Courageous"
11:59,Simon Sinek,Why good leaders make you feel safe,7.8M,"Inspiring, Informative"
16:48,Ken Robinson,Bring on the learning revolution!,7.7M,"Inspiring, Funny"
20:54,Matthieu Ricard,The habits of happiness,7.6M,"Inspiring, Beautiful"
 7:24,Louie Schwartzberg,Hidden miracles of the natural world,7.5M,"Fascinating, Beautiful"
15:25,Adam Grant,The surprising habits of original thinkers,7.5M,"Inspiring, Informative"
10:20,Carol Dweck,The power of believing that you can improve,7.4M,"Inspiring, Informative"
 4:40,Thomas Suarez,A 12-year-old app developer,7.3M,"Inspiring, Funny"
17:30,Malcolm Gladwell,"Choice, happiness and spaghetti sauce",7.2M,"Fascinating, Informative"
19:11,Ken Robinson,How to escape education's death valley,7.1M,"Inspiring, Funny"
 3:09,Derek Sivers,How to start a movement,6.9M,"Inspiring, Funny"
19:07,BJ Miller,What really matters at the end of life,6.9M,"Inspiring, Beautiful"
13:36,Kang Lee,Can you really tell if a kid is lying?,6.8M,"Informative, Fascinating"
 5:02,Ric Elias,3 things I learned while my plane crashed,6.8M,"Inspiring, Beautiful"
21:46,Russell Foster,Why do we sleep?,6.8M,"Informative, Fascinating"
17:27,Amy Webb,How I hacked online dating,6.6M,"Funny, Ingenious"
 2:59,Terry Moore,How to tie your shoes,6.4M,"Funny, Informative"
19:30,Jane McGonigal,The game that can give you 10 extra years of life,6.3M,"Inspiring, Persuasive"
 6:19,Markus Fischer,A robot that flies like a bird,6.3M,"Ingenious, Fascinating"
18:56,Ze Frank,Nerdcore comedy,6.3M,"Funny, Ingenious"
14:30,David Steindl-Rast,Want to be happy? Be grateful,6.2M,"Inspiring, Beautiful"
16:51,Alain de Botton,"A kinder, gentler philosophy of success",6.2M,"Inspiring, Persuasive"
 9:37,Alexander Tsiaras,Conception to birth — visualized,6.2M,"Beautiful, Fascinating"
15:15,Larry Smith,Why you will fail to have a great career,6.1M,"Inspiring, Funny"
14:41,Ruth Chang,How to make hard choices,6.1M,"Inspiring, Informative"
17:51,Shah Rukh Khan,"Thoughts on humanity, fame and love",6.1M,"Inspiring, Beautiful"
23:16,Philip Zimbardo,The psychology of evil,6M,"Inspiring, Fascinating"
 7:50,Julian Treasure,5 ways to listen better,5.9M,"Inspiring, Informative"
11:54,Laura Vanderkam,How to gain control of your free time,5.8M,"Inspiring, Informative"
17:24,Guy Winch,Why we all need to practice emotional first aid,5.7M,"Inspiring, Informative"
17:01,Seth Godin,How to get your ideas to spread,5.7M,"Inspiring, Informative"
12:03,Shane Koyczan,To This Day ... for the bullied and beautiful,5.7M,"Inspiring, Beautiful"
 8:47,Sleepy Man Banjo Boys,Bluegrass virtuosity from ... New Jersey?,5.7M,"Fascinating, Beautiful"
20:26,Dan Ariely,What makes us feel good about our work?,5.6M,"Informative, Inspiring"
13:25,Michael Shermer,Why people believe weird things,5.5M,"Funny, Persuasive"
 5:40,Johnny Lee,Free or cheap Wii Remote hacks,5.5M,"Ingenious, Fascinating"
 5:07,Marco Tempest,The magic of truth and lies (and iPods),5.4M,"Fascinating, Beautiful"
 5:52,Greg Gage,How to control someone else's arm with your brain,5.4M,"Fascinating, Informative"
15:17,Megan Phelps-Roper,I grew up in the Westboro Baptist Church. Here's why I left,5.4M,"Inspiring, Courageous"
11:04,Sandrine Thuret,You can grow new brain cells. Here's how,5.3M,"Informative, Fascinating"
17:57,Daphne Bavelier,Your brain on video games,5.3M,"Informative, Fascinating"
17:26,Dan Ariely,Are we in control of our own decisions?,5.2M,"Fascinating, Informative"
10:48,Shai Reshef,An ultra-low-cost college degree,5.2M,"Inspiring, Informative"
15:56,Helen Fisher,The brain in love,5.2M,"Informative, Fascinating"
10:16,May El-Khalil ,Making peace is a marathon,5.2M,"Inspiring, Courageous"
17:36,John Wooden,The difference between winning and succeeding,5.1M,"Inspiring, Beautiful"
12:26,Emilie Wapnick,Why some of us don't have one true calling,5.1M,"Inspiring, Fascinating"
17:47,Scott Dinsmore,How to find work you love,5.1M,"Inspiring, Persuasive"
21:04,Elon Musk,"The mind behind Tesla, SpaceX, SolarCity ...",5.1M,"Inspiring, Fascinating"
18:22,Chris Hadfield,What I learned from going blind in space,5.1M,"Inspiring, Fascinating"
16:30,Beau Lotto,Optical illusions show how we see,5.1M,"Fascinating, Informative"
15:21,Jason Fried,Why work doesn't happen at work,5.1M,"Inspiring, Persuasive"
20:27,Andrew Solomon,How the worst moments in our lives make us who we are,5M,"Inspiring, Beautiful"
 6:20,Candy Chang,Before I die I want to ...,5M,"Inspiring, Beautiful"
 3:15,Derek Sivers,Keep your goals to yourself,5M,"Informative, Inspiring"
15:15,Brian Little,"Who are you, really? The puzzle of personality",4.9M,"Funny, Informative"
 8:12,Adora Svitak,What adults can learn from kids,4.9M,"Inspiring, Courageous"
17:54,Simon Anholt,Which country does the most good for the world?,4.9M,"Inspiring, Beautiful"
20:28,Joshua Foer,Feats of memory anyone can do,4.9M,"Inspiring, Fascinating"
 5:44,David Pogue,10 top time-saving tech tips,4.9M,"Informative, Funny"
 6:40,Bill Gross,The single biggest reason why startups succeed,4.9M,"Informative, Inspiring"
 6:11,Bel Pesce,5 ways to kill your dreams,4.9M,"Inspiring, Beautiful"
 9:14,Maz Jobrani,Did you hear the one about the Iranian-American?,4.9M,"Funny, Inspiring"
15:35,Diana Nyad,"Never, ever give up",4.8M,"Inspiring, Courageous"
 6:24,Arthur Benjamin,The magic of Fibonacci numbers,4.8M,"Fascinating, Informative"
18:18,Roman Mars,Why city flags may be the worst-designed thing you've never noticed,4.8M,"Funny, Informative"
 7:30,Blaise Agüera y Arcas,How PhotoSynth can connect the world's images,4.8M,"Ingenious, Fascinating"
 9:10,Zak Ebrahim,I am the son of a terrorist. Here's how I chose peace.,4.8M,"Inspiring, Courageous"
 7:26,Ron Gutman,The hidden power of smiling,4.8M,"Inspiring, Informative"
18:02,"Adam Driver, Jesse J Perez and Matt Johnson",My journey from Marine to actor,4.8M,"Beautiful, Inspiring"
20:27,Sal Khan,Let's use video to reinvent education,4.7M,"Inspiring, Ingenious"
23:41,Bryan Stevenson,We need to talk about an injustice,4.7M,"Inspiring, Courageous"
20:03,Jane McGonigal,Gaming can make a better world,4.7M,"Inspiring, Fascinating"
20:02,Mike Rowe,Learning from dirty jobs,4.6M,"Inspiring, Funny"
11:46,David Kelley,How to build your creative confidence,4.6M,"Inspiring, Beautiful"
10:49,Jack Andraka,A promising test for pancreatic cancer ... from a teenager,4.6M,"Inspiring, Ingenious"
19:43,Temple Grandin,The world needs all kinds of minds,4.5M,"Inspiring, Informative"
 8:47,Jeff Han,The radical promise of the multi-touch interface,4.5M,"Ingenious, Fascinating"
11:17,Jenna McCarthy,What you don't know about marriage,4.5M,"Funny, Informative"
17:51,Kathryn Schulz,On being wrong,4.1M,"Inspiring, Persuasive"
17:45,Steven Johnson,Where good ideas come from,4.1M,"Inspiring, Fascinating"
11:41,Jeff Iliff,One more reason to get a good night's sleep,4.1M,"Informative, Fascinating"
12:05,Genevieve von Petzinger,Why are these 32 symbols found in ancient caves all over Europe?,4M,"Informative, Fascinating"
 4:29,Jamila Lyiscott,3 ways to speak English,4M,"Inspiring, Beautiful"
16:50,Mark Applebaum,The mad scientist of music,4M,"Funny, Inspiring"
 8:13,Theo Jansen,"My creations, a new form of life",4M,"Ingenious, Fascinating"
15:40,Malcolm Gladwell,The unheard story of David and Goliath,4M,"Fascinating, Informative"
11:20,Diane Kelly,What we didn't know about penis anatomy,4M,"Informative, Fascinating"
20:06,Daniel Kahneman,The riddle of experience vs. memory,4M,"Fascinating, Informative"
15:31,Jia Jiang,What I learned from 100 days of rejection,4M,"Inspiring, Funny"
20:08,Mark Bittman,What's wrong with what we eat,4M,"Informative, Persuasive"
10:42,Yann Dall'Aglio,Love — you're doing it wrong,4M,"Inspiring, Funny"
10:05,Nigel Marsh,How to make work-life balance work,3.9M,"Inspiring, Persuasive"
 9:19,Roselinde Torres,What it takes to be a great leader,3.9M,"Inspiring, Informative"
 9:43,Scott Rickard,The beautiful math behind the world's ugliest music,3.9M,"Fascinating, Informative"
33:38,Dan Gilbert,Why we make bad decisions,3.9M,"Informative, Fascinating"
 7:18,Elizabeth Gilbert,"Success, failure and the drive to keep creating",3.9M,"Inspiring, Beautiful"
16:50,Preston Reed and Usman Riaz,A young guitarist meets his hero,3.9M,"Beautiful, Inspiring"
 5:49,Graham Hill,"Less stuff, more happiness",3.9M,"Inspiring, Persuasive"
 8:38,Edith Widder,How we found the giant squid,3.9M,"Fascinating, Informative"
19:05,Hans Rosling and Ola Rosling,How not to be ignorant about the world,3.9M,"Informative, Funny"
16:32,Julia Sweeney,Letting go of God,3.8M,"Funny, Courageous"
 3:57,Richard St. John,Success is a continuous journey,3.8M,"Inspiring, Persuasive"
12:02,Meaghan Ramsey,Why thinking you're ugly is bad for you,3.8M,"Inspiring, Beautiful"
 5:27,Jon Bergmann,Just how small is an atom?,3.8M,"Informative, Fascinating"
12:39,Reshma Saujani,"Teach girls bravery, not perfection",3.8M,"Inspiring, Courageous"
